n	k	d	fom	l	m	A	B	wt	fam	C	D
720	270	219	17985.3750	6	60	x^0*y^0+x^0*y^15+x^1*y^0+x^1*y^15	x^0*y^0+x^0*y^30+x^2*y^0+x^2*y^30	8	css		
528	270	180	16568.1818	6	44	x^0*y^0+x^0*y^29+x^3*y^0+x^3*y^29		4	css		
504	270	173	16033.3929	18	14	x^0*y^0+x^0*y^1+x^9*y^0+x^9*y^1		4	css		
714	266	236	20749.4902	17	21	x^0*y^0+x^0*y^7+x^13*y^0+x^13*y^7	x^0*y^0+x^0*y^14+x^9*y^0+x^9*y^14	8	css		
504	266	174	15979.0000	18	14	x^0*y^0+x^0*y^7+x^1*y^0+x^1*y^7		4	css		
528	266	169	14388.6856	33	8	x^0*y^3+x^0*y^7+x^13*y^0+x^13*y^4		4	css		
912	264	280	22694.7368	24	19	x^0*y^0+x^0*y^8+x^18*y^0+x^18*y^8	x^0*y^0+x^0*y^16+x^12*y^0+x^12*y^16	8	css		
984	264	290	22563.4146	12	41	x^0*y^0+x^0*y^8+x^9*y^0+x^9*y^8	x^0*y^0+x^0*y^16+x^6*y^0+x^6*y^16	8	css		
756	264	241	20282.2540	9	42	x^0*y^0+x^0*y^29+x^3*y^0+x^3*y^29	x^0*y^0+x^0*y^16+x^6*y^0+x^6*y^16	8	css		
744	264	237	19930.9355	12	31	x^0*y^0+x^0*y^20+x^4*y^0+x^4*y^20	x^0*y^0+x^0*y^9+x^8*y^0+x^8*y^9	8	css		
840	264	250	19642.8571	28	15	x^0*y^0+x^0*y^12+x^8*y^0+x^8*y^12	x^0*y^0+x^0*y^9+x^16*y^0+x^16*y^9	8	css		
792	264	234	18252.0000	9	44	x^0*y^0+x^0*y^33+x^2*y^0+x^2*y^33	x^0*y^0+x^0*y^22+x^4*y^0+x^4*y^22	8	css		
648	264	210	17966.6667	18	18	x^0*y^0+x^0*y^6+x^14*y^0+x^14*y^6	x^0*y^0+x^0*y^12+x^10*y^0+x^10*y^12	8	css		
440	264	167	16733.4000	44	5	x^0*y^0+x^0*y^4+x^22*y^0+x^22*y^4		4	css		
484	264	175	16704.5455	22	11	x^0*y^0+x^0*y^1+x^11*y^0+x^11*y^1		4	css		
480	264	174	16651.8000	6	40	x^0*y^0+x^0*y^28+x^3*y^0+x^3*y^28		4	css		
512	264	174	15611.0625	32	8	x^0*y^0+x^0*y^4+x^7*y^0+x^7*y^4		4	css		
516	264	170	14786.0465	6	43	x^0*y^0+x^0*y^16+x^3*y^0+x^3*y^16		4	css		
504	264	155	12584.5238	42	6	x^0*y^0+x^0*y^3+x^26*y^0+x^26*y^3		4	css		
980	260	278	20503.9184	14	35	x^0*y^0+x^0*y^15+x^8*y^0+x^8*y^15	x^0*y^0+x^0*y^30+x^2*y^0+x^2*y^30	8	css		
800	260	243	19190.9250	20	20	x^0*y^0+x^0*y^15+x^18*y^0+x^18*y^15	x^0*y^0+x^0*y^10+x^16*y^0+x^16*y^10	8	css		
660	260	219	18893.7273	55	6	x^0*y^0+x^0*y^4+x^15*y^0+x^15*y^4	x^0*y^0+x^0*y^2+x^30*y^0+x^30*y^2	8	css		
728	260	230	18892.8571	7	52	x^0*y^0+x^0*y^13+x^3*y^0+x^3*y^13	x^0*y^0+x^0*y^26+x^6*y^0+x^6*y^26	8	css		
720	260	227	18607.6944	15	24	x^0*y^0+x^0*y^17+x^10*y^0+x^10*y^17	x^0*y^0+x^0*y^10+x^5*y^0+x^5*y^10	8	css		
480	260	164	14568.6667	24	10	x^0*y^0+x^0*y^5+x^10*y^0+x^10*y^5		4	css		
500	260	162	13646.8800	25	10	x^0*y^0+x^0*y^5+x^4*y^0+x^4*y^5		4	css		
960	258	289	22446.2687	40	12	x^0*y^0+x^0*y^9+x^27*y^0+x^27*y^9	x^0*y^0+x^0*y^6+x^14*y^0+x^14*y^6	8	css		
738	258	239	19969.1301	9	41	x^0*y^0+x^0*y^34+x^3*y^0+x^3*y^34	x^0*y^0+x^0*y^27+x^6*y^0+x^6*y^27	8	css		
960	256	282	21206.4000	24	20	x^0*y^0+x^0*y^8+x^2*y^0+x^2*y^8	x^0*y^0+x^0*y^16+x^4*y^0+x^4*y^16	8	css		
832	256	259	20640.3077	32	13	x^0*y^0+x^0*y^8+x^8*y^0+x^8*y^8	x^0*y^0+x^0*y^3+x^16*y^0+x^16*y^3	8	css		
928	256	271	20259.5862	58	8	x^0*y^0+x^0*y^6+x^6*y^0+x^6*y^6	x^0*y^0+x^0*y^4+x^12*y^0+x^12*y^4	8	css		
720	256	234	19468.8000	30	12	x^0*y^0+x^0*y^4+x^13*y^0+x^13*y^4	x^0*y^0+x^0*y^8+x^26*y^0+x^26*y^8	8	css		
672	256	224	19114.6667	12	28	x^0*y^0+x^0*y^10+x^4*y^0+x^4*y^10	x^0*y^0+x^0*y^20+x^8*y^0+x^8*y^20	8	css		
576	256	189	15876.0000	6	48	x^0*y^0+x^0*y^40+x^4*y^0+x^4*y^40	x^0*y^0+x^0*y^32+x^2*y^0+x^2*y^32	8	css		
640	256	199	15840.4000	32	10	x^0*y^0+x^0*y^8+x^8*y^0+x^8*y^8	x^0*y^0+x^0*y^6+x^16*y^0+x^16*y^6	8	css		
384	256	153	15606.0000	16	12	x^0*y^0+x^0*y^4+x^8*y^0+x^8*y^4		4	css		
480	256	160	13653.3333	60	4	x^0*y^0+x^0*y^2+x^28*y^0+x^28*y^2		4	css		
936	252	277	20657.8077	12	39	x^0*y^0+x^0*y^16+x^3*y^0+x^3*y^16	x^0*y^0+x^0*y^32+x^6*y^0+x^6*y^32	8	css		
864	252	264	20328.0000	18	24	x^0*y^0+x^0*y^6+x^5*y^0+x^5*y^6	x^0*y^0+x^0*y^12+x^10*y^0+x^10*y^12	8	css		
972	252	280	20325.9259	18	27	x^0*y^0+x^0*y^6+x^15*y^0+x^15*y^6	x^0*y^0+x^0*y^12+x^12*y^0+x^12*y^12	8	css		
960	252	277	20141.3625	8	60	x^0*y^0+x^0*y^59+x^6*y^0+x^6*y^59	x^0*y^0+x^0*y^58+x^4*y^0+x^4*y^58	8	css		
900	252	264	19514.8800	45	10	x^0*y^0+x^0*y^9+x^18*y^0+x^18*y^9	x^0*y^0+x^0*y^8+x^36*y^0+x^36*y^8	8	css		
720	252	235	19328.7500	40	9	x^0*y^0+x^0*y^3+x^23*y^0+x^23*y^3	x^0*y^0+x^0*y^6+x^6*y^0+x^6*y^6	8	css		
792	252	245	19098.8636	33	12	x^0*y^0+x^0*y^9+x^9*y^0+x^9*y^9	x^0*y^0+x^0*y^6+x^18*y^0+x^18*y^6	8	css		
840	252	251	18900.3000	15	28	x^0*y^0+x^0*y^7+x^14*y^0+x^14*y^7	x^0*y^0+x^0*y^14+x^13*y^0+x^13*y^14	8	css		
684	252	223	18321.2105	18	19	x^0*y^0+x^0*y^3+x^12*y^0+x^12*y^3	x^0*y^0+x^0*y^6+x^6*y^0+x^6*y^6	8	css		
336	252	153	17556.7500	6	28	x^0*y^0+x^0*y^14+x^3*y^0+x^3*y^14		4	css		
588	252	198	16801.7143	6	49	x^0*y^0+x^0*y^28+x^4*y^0+x^4*y^28	x^0*y^0+x^0*y^7+x^2*y^0+x^2*y^7	8	css		
672	252	208	16224.0000	8	42	x^0*y^0+x^0*y^35+x^6*y^0+x^6*y^35	x^0*y^0+x^0*y^28+x^4*y^0+x^4*y^28	8	css		
540	252	186	16144.8000	5	54	x^0*y^0+x^0*y^18+x^1*y^0+x^1*y^18	x^0*y^0+x^0*y^36+x^2*y^0+x^2*y^36	8	css		
420	252	161	15552.6000	35	6	x^0*y^0+x^0*y^3+x^7*y^0+x^7*y^3		4	css		
448	252	163	14945.0625	28	8	x^0*y^0+x^0*y^7+x^14*y^0+x^14*y^7		4	css		
492	252	168	14456.1951	6	41	x^0*y^0+x^0*y^26+x^3*y^0+x^3*y^26		4	css		
468	252	159	13612.8462	6	39	x^0*y^0+x^0*y^36+x^3*y^0+x^3*y^36		4	css		
880	250	256	18618.1818	22	20	x^0*y^0+x^0*y^5+x^13*y^0+x^13*y^5	x^0*y^0+x^0*y^10+x^4*y^0+x^4*y^10	8	css		
690	250	223	18017.7536	23	15	x^0*y^0+x^0*y^5+x^19*y^0+x^19*y^5	x^0*y^0+x^0*y^10+x^15*y^0+x^15*y^10	8	css		
400	250	156	15210.0000	10	20	x^0*y^0+x^0*y^15+x^5*y^0+x^5*y^15		4	css		
896	248	269	20028.4911	28	16	x^0*y^0+x^0*y^4+x^9*y^0+x^9*y^4	x^0*y^0+x^0*y^8+x^18*y^0+x^18*y^8	8	css		
944	248	276	20012.3390	8	59	x^0*y^0+x^0*y^35+x^6*y^0+x^6*y^35	x^0*y^0+x^0*y^11+x^4*y^0+x^4*y^11	8	css		
696	248	223	17719.5287	58	6	x^0*y^0+x^0*y^4+x^12*y^0+x^12*y^4	x^0*y^0+x^0*y^2+x^24*y^0+x^24*y^2	8	css		
720	248	224	17282.8444	6	60	x^0*y^0+x^0*y^23+x^2*y^0+x^2*y^23	x^0*y^0+x^0*y^46+x^4*y^0+x^4*y^46	8	css		
912	246	266	19085.5000	38	12	x^0*y^0+x^0*y^9+x^9*y^0+x^9*y^9	x^0*y^0+x^0*y^6+x^18*y^0+x^18*y^6	8	css		
702	246	222	17270.4615	9	39	x^0*y^0+x^0*y^20+x^6*y^0+x^6*y^20	x^0*y^0+x^0*y^1+x^3*y^0+x^3*y^1	8	css		
928	244	273	19595.9871	8	58	x^0*y^0+x^0*y^31+x^6*y^0+x^6*y^31	x^0*y^0+x^0*y^4+x^4*y^0+x^4*y^4	8	css		
708	244	235	19032.3446	59	6	x^0*y^0+x^0*y^2+x^38*y^0+x^38*y^2	x^0*y^0+x^0*y^4+x^17*y^0+x^17*y^4	8	css		
594	242	194	15333.1852	9	33	x^0*y^0+x^0*y^11+x^5*y^0+x^5*y^11	x^0*y^0+x^0*y^22+x^1*y^0+x^1*y^22	8	css		
960	240	286	20449.0000	16	30	x^0*y^0+x^0*y^24+x^9*y^0+x^9*y^24	x^0*y^0+x^0*y^18+x^2*y^0+x^2*y^18	8	css		
1000	240	281	18950.6400	25	20	x^0*y^0+x^0*y^11+x^5*y^0+x^5*y^11	x^0*y^0+x^0*y^2+x^10*y^0+x^10*y^2	8	css		
912	240	267	18760.2632	8	57	x^0*y^0+x^0*y^31+x^2*y^0+x^2*y^31	x^0*y^0+x^0*y^5+x^4*y^0+x^4*y^5	8	css		
864	240	258	18490.0000	54	8	x^0*y^0+x^0*y^2+x^14*y^0+x^14*y^2	x^0*y^0+x^0*y^4+x^28*y^0+x^28*y^4	8	css		
888	240	261	18411.0811	12	37	x^0*y^0+x^0*y^25+x^9*y^0+x^9*y^25	x^0*y^0+x^0*y^13+x^6*y^0+x^6*y^13	8	css		
880	240	258	18153.8182	44	10	x^0*y^0+x^0*y^6+x^40*y^0+x^40*y^6	x^0*y^0+x^0*y^2+x^36*y^0+x^36*y^2	8	css		
816	240	246	17798.8235	17	24	x^0*y^0+x^0*y^6+x^7*y^0+x^7*y^6	x^0*y^0+x^0*y^12+x^14*y^0+x^14*y^12	8	css		
696	240	224	17302.0690	6	58	x^0*y^0+x^0*y^43+x^4*y^0+x^4*y^43	x^0*y^0+x^0*y^28+x^2*y^0+x^2*y^28	8	css		
720	240	227	17176.3333	40	9	x^0*y^0+x^0*y^8+x^30*y^0+x^30*y^8	x^0*y^0+x^0*y^7+x^20*y^0+x^20*y^7	8	css		
684	240	220	16982.4561	38	9	x^0*y^0+x^0*y^3+x^13*y^0+x^13*y^3	x^0*y^0+x^0*y^6+x^26*y^0+x^26*y^6	8	css		
768	240	233	16965.3125	32	12	x^0*y^0+x^0*y^1+x^24*y^0+x^24*y^1	x^0*y^0+x^0*y^2+x^16*y^0+x^16*y^2	8	css		
660	240	215	16809.0909	15	22	x^0*y^0+x^0*y^19+x^5*y^0+x^5*y^19	x^0*y^0+x^0*y^16+x^10*y^0+x^10*y^16	8	css		
800	240	236	16708.8000	8	50	x^0*y^0+x^0*y^40+x^7*y^0+x^7*y^40	x^0*y^0+x^0*y^30+x^6*y^0+x^6*y^30	8	css		
672	240	215	16508.9286	56	6	x^0*y^0+x^0*y^4+x^30*y^0+x^30*y^4	x^0*y^0+x^0*y^2+x^4*y^0+x^4*y^2	8	css		
320	240	146	15987.0000	20	8	x^0*y^0+x^0*y^4+x^10*y^0+x^10*y^4		4	css		
624	240	203	15849.6154	12	26	x^0*y^0+x^0*y^12+x^8*y^0+x^8*y^12	x^0*y^0+x^0*y^24+x^4*y^0+x^4*y^24	8	css		
600	240	195	15210.0000	25	12	x^0*y^0+x^0*y^9+x^10*y^0+x^10*y^9	x^0*y^0+x^0*y^6+x^20*y^0+x^20*y^6	8	css		
576	240	190	15041.6667	18	16	x^0*y^0+x^0*y^6+x^6*y^0+x^6*y^6	x^0*y^0+x^0*y^12+x^12*y^0+x^12*y^12	8	css		
384	240	150	14062.5000	4	48	x^0*y^0+x^0*y^36+x^2*y^0+x^2*y^36		4	css		
400	240	152	13862.4000	50	4	x^0*y^0+x^0*y^2+x^30*y^0+x^30*y^2		4	css		
456	240	161	13642.6316	12	19	x^0*y^0+x^0*y^13+x^6*y^0+x^6*y^13		4	css		
420	240	153	13376.5714	7	30	x^0*y^0+x^0*y^15+x^3*y^0+x^3*y^15		4	css		
448	240	156	13037.1429	56	4	x^0*y^0+x^0*y^2+x^36*y^0+x^36*y^2		4	css		
464	240	156	12587.5862	4	58	x^0*y^0+x^0*y^2+x^2*y^0+x^2*y^2		4	css		
472	240	156	12374.2373	59	4	x^0*y^0+x^0*y^2+x^51*y^0+x^51*y^2		4	css		
460	240	147	11274.2609	10	23	x^0*y^0+x^0*y^8+x^5*y^0+x^5*y^8		4	css		
910	238	251	16477.1846	13	35	x^0*y^0+x^0*y^28+x^4*y^0+x^4*y^28	x^0*y^0+x^0*y^21+x^8*y^0+x^8*y^21	8	css		
630	238	201	15262.6000	15	21	x^0*y^0+x^0*y^14+x^11*y^0+x^11*y^14	x^0*y^0+x^0*y^7+x^7*y^0+x^7*y^7	8	css		
896	236	263	18218.6205	56	8	x^0*y^0+x^0*y^2+x^27*y^0+x^27*y^2	x^0*y^0+x^0*y^4+x^54*y^0+x^54*y^4	8	css		
684	236	215	15948.9766	6	57	x^0*y^0+x^0*y^10+x^4*y^0+x^4*y^10	x^0*y^0+x^0*y^20+x^2*y^0+x^2*y^20	8	css		
464	236	156	12377.7931	4	58	x^0*y^0+x^0*y^25+x^2*y^0+x^2*y^25		4	css		
864	234	256	17749.3333	36	12	x^0*y^0+x^0*y^9+x^31*y^0+x^31*y^9	x^0*y^0+x^0*y^6+x^26*y^0+x^26*y^6	8	css		
810	234	238	16363.8222	15	27	x^0*y^0+x^0*y^21+x^9*y^0+x^9*y^21	x^0*y^0+x^0*y^15+x^3*y^0+x^3*y^15	8	css		
666	234	213	15940.4595	37	9	x^0*y^0+x^0*y^3+x^29*y^0+x^29*y^3	x^0*y^0+x^0*y^6+x^21*y^0+x^21*y^6	8	css		
720	234	214	14883.7000	30	12	x^0*y^0+x^0*y^3+x^3*y^0+x^3*y^3	x^0*y^0+x^0*y^6+x^6*y^0+x^6*y^6	8	css		
594	234	194	14826.3030	9	33	x^0*y^0+x^0*y^3+x^3*y^0+x^3*y^3	x^0*y^0+x^0*y^6+x^6*y^0+x^6*y^6	8	css		
624	234	197	14553.3750	6	52	x^0*y^0+x^0*y^39+x^5*y^0+x^5*y^39	x^0*y^0+x^0*y^26+x^4*y^0+x^4*y^26	8	css		
1000	232	284	18712.1920	50	10	x^0*y^0+x^0*y^4+x^14*y^0+x^14*y^4	x^0*y^0+x^0*y^8+x^28*y^0+x^28*y^8	8	css		
832	232	253	17848.6635	16	26	x^0*y^0+x^0*y^15+x^4*y^0+x^4*y^15	x^0*y^0+x^0*y^4+x^8*y^0+x^8*y^4	8	css		
880	232	250	16477.2727	8	55	x^0*y^0+x^0*y^32+x^2*y^0+x^2*y^32	x^0*y^0+x^0*y^9+x^4*y^0+x^4*y^9	8	css		
648	232	211	15939.6173	6	54	x^0*y^0+x^0*y^34+x^2*y^0+x^2*y^34	x^0*y^0+x^0*y^14+x^4*y^0+x^4*y^14	8	css		
672	232	209	15080.3452	6	56	x^0*y^0+x^0*y^47+x^2*y^0+x^2*y^47	x^0*y^0+x^0*y^38+x^4*y^0+x^4*y^38	8	css		
348	232	135	12150.0000	58	3	x^0*y^0+x^0*y^1+x^29*y^0+x^29*y^1		4	css		
456	232	149	11295.2456	57	4	x^0*y^0+x^0*y^2+x^23*y^0+x^23*y^2		4	css		
448	232	144	10738.2857	56	4	x^0*y^0+x^0*y^2+x^10*y^0+x^10*y^2		4	css		
630	230	203	15044.5556	21	15	x^0*y^0+x^0*y^10+x^5*y^0+x^5*y^10	x^0*y^0+x^0*y^5+x^10*y^0+x^10*y^5	8	css		
440	230	146	11142.4545	10	22	x^0*y^0+x^0*y^17+x^5*y^0+x^5*y^17		4	css		
900	228	258	16862.8800	15	30	x^0*y^0+x^0*y^6+x^11*y^0+x^11*y^6	x^0*y^0+x^0*y^12+x^7*y^0+x^7*y^12	8	css		
768	228	233	16117.0469	16	24	x^0*y^0+x^0*y^18+x^15*y^0+x^15*y^18	x^0*y^0+x^0*y^12+x^14*y^0+x^14*y^12	8	css		
864	228	243	15582.3750	8	54	x^0*y^0+x^0*y^35+x^2*y^0+x^2*y^35	x^0*y^0+x^0*y^16+x^4*y^0+x^4*y^16	8	css		
660	228	208	14945.7455	6	55	x^0*y^0+x^0*y^7+x^2*y^0+x^2*y^7	x^0*y^0+x^0*y^14+x^4*y^0+x^4*y^14	8	css		
612	228	200	14901.9608	51	6	x^0*y^0+x^0*y^4+x^39*y^0+x^39*y^4	x^0*y^0+x^0*y^2+x^27*y^0+x^27*y^2	8	css		
840	228	231	14483.7000	35	12	x^0*y^0+x^0*y^9+x^27*y^0+x^27*y^9	x^0*y^0+x^0*y^6+x^19*y^0+x^19*y^6	8	css		
648	228	199	13933.6852	9	36	x^0*y^0+x^0*y^31+x^6*y^0+x^6*y^31	x^0*y^0+x^0*y^26+x^3*y^0+x^3*y^26	8	css		
380	228	146	12789.6000	5	38	x^0*y^0+x^0*y^19+x^3*y^0+x^3*y^19		4	css		
456	228	156	12168.0000	4	57	x^0*y^0+x^0*y^19+x^3*y^0+x^3*y^19	x^0*y^0+x^0*y^38+x^2*y^0+x^2*y^38	8	css		
448	228	152	11758.2857	4	56	x^0*y^0+x^0*y^13+x^2*y^0+x^2*y^13		4	css		
444	228	151	11708.6216	6	37	x^0*y^0+x^0*y^4+x^3*y^0+x^3*y^4		4	css		
432	228	144	10944.0000	54	4	x^0*y^0+x^0*y^2+x^39*y^0+x^39*y^2		4	css		
848	224	254	17041.9623	8	53	x^0*y^0+x^0*y^50+x^6*y^0+x^6*y^50	x^0*y^0+x^0*y^47+x^4*y^0+x^4*y^47	8	css		
840	224	247	16269.0667	35	12	x^0*y^0+x^0*y^5+x^28*y^0+x^28*y^5	x^0*y^0+x^0*y^10+x^21*y^0+x^21*y^10	8	css		
